salesorderid,orderdate,requireddeliverydate,orderstatus,ordertotalamount,customerid,customername,salesorderlineid,productid,productname,producttype,targetyield,standardcycletime_seconds,quantityordered,lineunitprice,linetotalamount,linestatus
SO-20250213154855-251,2025-02-13,2025-03-02,Partially Shipped,15123.6,CUST002,Future Devices Inc.,472,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,312,7.8,2433.6,Partially_Shipped
SO-20250214163741-423,2025-02-14,2025-03-10,Partially Shipped,81392.15,CUST001,Global Tech Solutions,481,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,1951,5.75,11218.25,Partially_Shipped
SO-20250214163833-773,2025-02-14,2025-03-28,Partially Shipped,5278.5,CUST003,AeroSpace Dynamics,485,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,207,25.5,5278.5,Partially_Shipped
SO-20250222134112-344,2025-02-22,2025-03-26,Partially Shipped,32435.75,CUST005,Automotive Innovations Ltd.,532,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,5641,5.75,32435.75,Partially_Shipped
SO-20250224093646-655,2025-02-24,2025-03-18,Partially Shipped,14676.0,CUST004,MediEquip Corp.,539,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,53,45.0,2385.0,Partially_Shipped
SO-20250222110625-793,2025-02-22,2025-03-29,Partially Shipped,27069.7,CUST001,Global Tech Solutions,530,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,268,8.9,2385.2,Partially_Shipped
SO-20250214123612-840,2025-02-14,2025-03-11,Partially Shipped,27642.95,CUST001,Global Tech Solutions,484,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,3097,5.75,17807.75,Partially_Shipped
SO-20250215100229-909,2025-02-15,2025-03-18,Partially Shipped,13547.5,CUST002,Future Devices Inc.,488,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,160,5.75,920.0,Partially_Shipped
SO-20250215152707-178,2025-02-15,2025-03-15,Partially Shipped,43244.7,CUST001,Global Tech Solutions,491,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,1609,25.5,41029.5,Partially_Shipped
SO-20250220114031-797,2025-02-20,2025-03-12,Partially Shipped,41713.0,CUST004,MediEquip Corp.,517,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,1355,8.9,12059.5,Partially_Shipped
SO-20250222110625-793,2025-02-22,2025-03-29,Partially Shipped,27069.7,CUST001,Global Tech Solutions,529,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,4086,5.75,23494.5,Partially_Shipped
SO-20250214163741-423,2025-02-14,2025-03-10,Partially Shipped,81392.15,CUST001,Global Tech Solutions,479,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,1945,25.5,49597.5,Partially_Shipped
SO-20250215100229-909,2025-02-15,2025-03-18,Partially Shipped,13547.5,CUST002,Future Devices Inc.,487,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,4654,2.5,11635.0,Partially_Shipped
SO-20250215150110-538,2025-02-15,2025-03-12,Partially Shipped,72797.5,CUST002,Future Devices Inc.,490,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,1603,45.0,72135.0,Partially_Shipped
SO-20250216163224-807,2025-02-16,2025-03-21,Partially Shipped,2491.7,CUST002,Future Devices Inc.,494,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,88,8.9,783.2,Partially_Shipped
SO-20250221150605-547,2025-02-21,2025-04-06,Partially Shipped,2893.8,CUST001,Global Tech Solutions,526,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,371,7.8,2893.8,Partially_Shipped
SO-20250222110625-793,2025-02-22,2025-03-29,Partially Shipped,27069.7,CUST001,Global Tech Solutions,531,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,476,2.5,1190.0,Partially_Shipped
SO-20250220080209-501,2025-02-20,2025-03-27,Partially Shipped,5676.7,CUST005,Automotive Innovations Ltd.,520,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,431,8.9,3835.9,Partially_Shipped
SO-20250221145625-169,2025-02-21,2025-03-25,Partially Shipped,82925.6,CUST003,AeroSpace Dynamics,528,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,3512,2.5,8780.0,Partially_Shipped
SO-20250220080209-501,2025-02-20,2025-03-27,Partially Shipped,5676.7,CUST005,Automotive Innovations Ltd.,521,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,236,7.8,1840.8,Partially_Shipped
SO-20250220114031-797,2025-02-20,2025-03-12,Partially Shipped,41713.0,CUST004,MediEquip Corp.,516,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,74,45.0,3330.0,Partially_Shipped
SO-20250219113958-703,2025-02-19,2025-03-08,Partially Shipped,36632.5,CUST003,AeroSpace Dynamics,508,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,201,45.0,9045.0,Partially_Shipped
SO-20250224084236-439,2025-02-24,2025-03-16,Partially Shipped,649.7,CUST003,AeroSpace Dynamics,543,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,73,8.9,649.7,Partially_Shipped
SO-20250215150110-538,2025-02-15,2025-03-12,Partially Shipped,72797.5,CUST002,Future Devices Inc.,489,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,265,2.5,662.5,Partially_Shipped
SO-20250223132504-183,2025-02-23,2025-04-02,Partially Shipped,4559.6,CUST003,AeroSpace Dynamics,537,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,343,2.5,857.5,Partially_Shipped
SO-20250221145625-169,2025-02-21,2025-03-25,Partially Shipped,82925.6,CUST003,AeroSpace Dynamics,527,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,4878,15.2,74145.6,Partially_Shipped
SO-20250225092519-356,2025-02-25,2025-03-20,Partially Shipped,25080.4,CUST001,Global Tech Solutions,547,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,381,2.5,952.5,Partially_Shipped
SO-20250218135515-491,2025-02-18,2025-03-12,Partially Shipped,3928.65,CUST002,Future Devices Inc.,503,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,287,5.75,1650.25,Partially_Shipped
SO-20250218135515-491,2025-02-18,2025-03-12,Partially Shipped,3928.65,CUST002,Future Devices Inc.,502,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,118,8.9,1050.2,Partially_Shipped
SO-20250218135515-491,2025-02-18,2025-03-12,Partially Shipped,3928.65,CUST002,Future Devices Inc.,501,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,138,8.9,1228.2,Partially_Shipped
SO-20250214123612-840,2025-02-14,2025-03-11,Partially Shipped,27642.95,CUST001,Global Tech Solutions,482,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,1234,7.8,9625.2,Partially_Shipped
SO-20250214123612-840,2025-02-14,2025-03-11,Partially Shipped,27642.95,CUST001,Global Tech Solutions,483,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,84,2.5,210.0,Partially_Shipped
SO-20250216112227-375,2025-02-16,2025-03-05,Partially Shipped,108797.8,CUST003,AeroSpace Dynamics,495,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,4142,25.5,105621.0,Partially_Shipped
SO-20250220083402-306,2025-02-20,2025-03-13,Partially Shipped,810.75,CUST005,Automotive Innovations Ltd.,519,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,141,5.75,810.75,Partially_Shipped
SO-20250218103346-458,2025-02-18,2025-03-08,Partially Shipped,542.5,CUST004,MediEquip Corp.,504,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,217,2.5,542.5,Partially_Shipped
SO-20250215100229-909,2025-02-15,2025-03-18,Partially Shipped,13547.5,CUST002,Future Devices Inc.,486,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,397,2.5,992.5,Partially_Shipped
SO-20250215152707-178,2025-02-15,2025-03-15,Partially Shipped,43244.7,CUST001,Global Tech Solutions,492,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,284,7.8,2215.2,Partially_Shipped
SO-20250219090903-330,2025-02-19,2025-03-08,Partially Shipped,5921.6,CUST005,Automotive Innovations Ltd.,506,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,298,5.75,1713.5,Partially_Shipped
SO-20250219113958-703,2025-02-19,2025-03-08,Partially Shipped,36632.5,CUST003,AeroSpace Dynamics,510,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,4322,5.75,24851.5,Partially_Shipped
SO-20250224093646-655,2025-02-24,2025-03-18,Partially Shipped,14676.0,CUST004,MediEquip Corp.,541,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,168,25.5,4284.0,Partially_Shipped
SO-20250225092519-356,2025-02-25,2025-03-20,Partially Shipped,25080.4,CUST001,Global Tech Solutions,546,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,2711,8.9,24127.9,Partially_Shipped
SO-20250217121028-309,2025-02-17,2025-04-01,Partially Shipped,67776.8,CUST005,Automotive Innovations Ltd.,499,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,4166,15.2,63323.2,Partially_Shipped
SO-20250219090903-330,2025-02-19,2025-03-08,Partially Shipped,5921.6,CUST005,Automotive Innovations Ltd.,507,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,273,8.9,2429.7,Partially_Shipped
SO-20250219163036-486,2025-02-19,2025-03-30,Partially Shipped,12940.5,CUST001,Global Tech Solutions,513,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,160,45.0,7200.0,Partially_Shipped
SO-20250223145845-425,2025-02-23,2025-03-26,Partially Shipped,845.0,CUST004,MediEquip Corp.,538,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,338,2.5,845.0,Partially_Shipped
SO-20250223132504-183,2025-02-23,2025-04-02,Partially Shipped,4559.6,CUST003,AeroSpace Dynamics,535,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,458,5.75,2633.5,Partially_Shipped
SO-20250223132504-183,2025-02-23,2025-04-02,Partially Shipped,4559.6,CUST003,AeroSpace Dynamics,536,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,137,7.8,1068.6,Partially_Shipped
SO-20250217083924-118,2025-02-17,2025-03-08,Partially Shipped,236232.0,CUST004,MediEquip Corp.,500,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,9264,25.5,236232.0,Partially_Shipped
SO-20250225082658-776,2025-02-25,2025-03-30,Partially Shipped,58157.5,CUST001,Global Tech Solutions,548,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,1168,45.0,52560.0,Partially_Shipped
SO-20250224093646-655,2025-02-24,2025-03-18,Partially Shipped,14676.0,CUST004,MediEquip Corp.,540,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,314,25.5,8007.0,Partially_Shipped
SO-20250219090903-330,2025-02-19,2025-03-08,Partially Shipped,5921.6,CUST005,Automotive Innovations Ltd.,505,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,117,15.2,1778.4,Partially_Shipped
SO-20250225121728-150,2025-02-25,2025-04-07,Partially Shipped,11124.5,CUST001,Global Tech Solutions,545,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,329,2.5,822.5,Partially_Shipped
SO-20250227094514-375,2025-02-27,2025-04-13,Partially Shipped,1621.5,CUST002,Future Devices Inc.,556,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,282,5.75,1621.5,Partially_Shipped
SO-20250226110354-465,2025-02-26,2025-03-31,Partially Shipped,4940.0,CUST005,Automotive Innovations Ltd.,551,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,325,15.2,4940.0,Partially_Shipped
SO-20250226164053-707,2025-02-26,2025-03-22,Partially Shipped,204765.0,CUST002,Future Devices Inc.,553,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,7519,25.5,191734.5,Partially_Shipped
SO-20250309113624-992,2025-03-09,2025-04-12,Partially Shipped,75105.6,CUST005,Automotive Innovations Ltd.,595,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,94,15.2,1428.8,Partially_Shipped
SO-20250227125635-756,2025-02-27,2025-04-06,Partially Shipped,6081.3,CUST003,AeroSpace Dynamics,559,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,203,25.5,5176.5,Partially_Shipped
SO-20250223164102-504,2025-02-23,2025-04-01,Partially Shipped,31107.3,CUST005,Automotive Innovations Ltd.,533,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,271,7.8,2113.8,Partially_Shipped
SO-20250307080619-519,2025-03-07,2025-04-02,Partially Shipped,10378.7,CUST003,AeroSpace Dynamics,585,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,90,8.9,801.0,Partially_Shipped
SO-20250309154639-657,2025-03-09,2025-04-13,Partially Shipped,75750.0,CUST005,Automotive Innovations Ltd.,597,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,8450,8.9,75205.0,Partially_Shipped
SO-20250302124606-289,2025-03-02,2025-04-09,Partially Shipped,57684.2,CUST003,AeroSpace Dynamics,568,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,2672,2.5,6680.0,Partially_Shipped
SO-20250304091345-705,2025-03-04,2025-04-16,Partially Shipped,3825.0,CUST003,AeroSpace Dynamics,574,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,85,45.0,3825.0,Partially_Shipped
SO-20250226082008-572,2025-02-26,2025-04-10,Partially Shipped,11755.5,CUST002,Future Devices Inc.,552,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,461,25.5,11755.5,Partially_Shipped
SO-20250303153953-619,2025-03-03,2025-04-12,Partially Shipped,2006.75,CUST003,AeroSpace Dynamics,570,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,172,5.75,989.0,Partially_Shipped
SO-20250303094600-874,2025-03-03,2025-03-25,Partially Shipped,69372.4,CUST001,Global Tech Solutions,573,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,3363,7.8,26231.4,Partially_Shipped
SO-20250305122158-387,2025-03-05,2025-04-09,Partially Shipped,943.8,CUST001,Global Tech Solutions,578,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,121,7.8,943.8,Partially_Shipped
SO-20250225121728-150,2025-02-25,2025-04-07,Partially Shipped,11124.5,CUST001,Global Tech Solutions,544,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,404,25.5,10302.0,Partially_Shipped
SO-20250226164053-707,2025-02-26,2025-03-22,Partially Shipped,204765.0,CUST002,Future Devices Inc.,554,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,396,25.5,10098.0,Partially_Shipped
SO-20250225082658-776,2025-02-25,2025-03-30,Partially Shipped,58157.5,CUST001,Global Tech Solutions,549,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,385,2.5,962.5,Partially_Shipped
SO-20250225082658-776,2025-02-25,2025-03-30,Partially Shipped,58157.5,CUST001,Global Tech Solutions,550,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,103,45.0,4635.0,Partially_Shipped
SO-20250307101609-339,2025-03-07,2025-03-23,Partially Shipped,29267.9,CUST001,Global Tech Solutions,587,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,190,5.75,1092.5,Partially_Shipped
SO-20250307101609-339,2025-03-07,2025-03-23,Partially Shipped,29267.9,CUST001,Global Tech Solutions,588,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,3431,7.8,26761.8,Partially_Shipped
SO-20250308162259-259,2025-03-08,2025-04-05,Partially Shipped,9810.0,CUST002,Future Devices Inc.,590,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,218,45.0,9810.0,Partially_Shipped
SO-20250303094600-874,2025-03-03,2025-03-25,Partially Shipped,69372.4,CUST001,Global Tech Solutions,571,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,5863,2.5,14657.5,Partially_Shipped
SO-20250227085200-191,2025-02-27,2025-04-06,Partially Shipped,2507.0,CUST003,AeroSpace Dynamics,557,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,436,5.75,2507.0,Partially_Shipped
SO-20250227125635-756,2025-02-27,2025-04-06,Partially Shipped,6081.3,CUST003,AeroSpace Dynamics,558,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,116,7.8,904.8,Partially_Shipped
SO-20250226164053-707,2025-02-26,2025-03-22,Partially Shipped,204765.0,CUST002,Future Devices Inc.,555,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,115,25.5,2932.5,Partially_Shipped
SO-20250303094600-874,2025-03-03,2025-03-25,Partially Shipped,69372.4,CUST001,Global Tech Solutions,572,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,1117,25.5,28483.5,Partially_Shipped
SO-20250228161827-473,2025-02-28,2025-03-15,Partially Shipped,155146.8,CUST004,MediEquip Corp.,560,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,3412,45.0,153540.0,Partially_Shipped
SO-20250228163653-229,2025-02-28,2025-03-29,Partially Shipped,2550.8,CUST003,AeroSpace Dynamics,562,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,278,5.75,1598.5,Partially_Shipped
SO-20250228161827-473,2025-02-28,2025-03-15,Partially Shipped,155146.8,CUST004,MediEquip Corp.,561,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,206,7.8,1606.8,Partially_Shipped
SO-20250310131103-344,2025-03-10,2025-04-05,Partially Shipped,66456.75,CUST002,Future Devices Inc.,603,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,305,5.75,1753.75,Partially_Shipped
SO-20250301102053-102,2025-03-01,2025-03-16,Partially Shipped,11671.5,CUST003,AeroSpace Dynamics,564,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,300,8.9,2670.0,Partially_Shipped
SO-20250301102053-102,2025-03-01,2025-03-16,Partially Shipped,11671.5,CUST003,AeroSpace Dynamics,565,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,353,25.5,9001.5,Partially_Shipped
SO-20250228163653-229,2025-02-28,2025-03-29,Partially Shipped,2550.8,CUST003,AeroSpace Dynamics,563,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,107,8.9,952.3,Partially_Shipped
SO-20250311105641-556,2025-03-11,2025-03-30,Partially Shipped,67119.25,CUST001,Global Tech Solutions,604,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,472,45.0,21240.0,Partially_Shipped
SO-20250306112131-972,2025-03-06,2025-03-27,Partially Shipped,65084.05,CUST002,Future Devices Inc.,581,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,4281,5.75,24615.75,Partially_Shipped
SO-20250308153834-488,2025-03-08,2025-03-21,Partially Shipped,75027.0,CUST004,MediEquip Corp.,591,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,8455,7.8,65949.0,Partially_Shipped
SO-20250310131103-344,2025-03-10,2025-04-05,Partially Shipped,66456.75,CUST002,Future Devices Inc.,602,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,7270,8.9,64703.0,Partially_Shipped
SO-20250307101609-339,2025-03-07,2025-03-23,Partially Shipped,29267.9,CUST001,Global Tech Solutions,589,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,93,15.2,1413.6,Partially_Shipped
SO-20250302124606-289,2025-03-02,2025-04-09,Partially Shipped,57684.2,CUST003,AeroSpace Dynamics,566,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,8524,5.75,49013.0,Partially_Shipped
SO-20250304151736-185,2025-03-04,2025-03-26,Partially Shipped,2636.4,CUST005,Automotive Innovations Ltd.,577,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,338,7.8,2636.4,Partially_Shipped
SO-20250309113624-992,2025-03-09,2025-04-12,Partially Shipped,75105.6,CUST005,Automotive Innovations Ltd.,593,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,224,8.9,1993.6,Partially_Shipped
SO-20250310093657-907,2025-03-10,2025-04-14,Partially Shipped,9169.5,CUST005,Automotive Innovations Ltd.,598,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,384,5.75,2208.0,Partially_Shipped
SO-20250311161918-720,2025-03-11,2025-04-05,Partially Shipped,6947.4,CUST002,Future Devices Inc.,607,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,128,15.2,1945.6,Partially_Shipped
SO-20250310152828-727,2025-03-10,2025-04-16,Partially Shipped,48463.2,CUST002,Future Devices Inc.,601,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,54,7.8,421.2,Partially_Shipped
SO-20250312122629-329,2025-03-12,2025-04-02,Partially Shipped,13370.7,CUST002,Future Devices Inc.,609,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,1044,7.8,8143.2,Partially_Shipped
SO-20250306112131-972,2025-03-06,2025-03-27,Partially Shipped,65084.05,CUST002,Future Devices Inc.,582,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,4377,8.9,38955.3,Partially_Shipped
SO-20250305083718-198,2025-03-05,2025-03-28,Partially Shipped,388350.0,CUST005,Automotive Innovations Ltd.,579,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,8630,45.0,388350.0,Partially_Shipped
SO-20250302124606-289,2025-03-02,2025-04-09,Partially Shipped,57684.2,CUST003,AeroSpace Dynamics,567,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,131,15.2,1991.2,Partially_Shipped
SO-20250312124838-402,2025-03-12,2025-03-27,Partially Shipped,6258.7,CUST004,MediEquip Corp.,612,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,306,5.75,1759.5,Partially_Shipped
SO-20250310093657-907,2025-03-10,2025-04-14,Partially Shipped,9169.5,CUST005,Automotive Innovations Ltd.,599,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,273,25.5,6961.5,Partially_Shipped
SO-20250307080619-519,2025-03-07,2025-04-02,Partially Shipped,10378.7,CUST003,AeroSpace Dynamics,584,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,51,15.2,775.2,Partially_Shipped
SO-20250309154639-657,2025-03-09,2025-04-13,Partially Shipped,75750.0,CUST005,Automotive Innovations Ltd.,596,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,218,2.5,545.0,Partially_Shipped
SO-20250303153953-619,2025-03-03,2025-04-12,Partially Shipped,2006.75,CUST003,AeroSpace Dynamics,569,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,177,5.75,1017.75,Partially_Shipped
SO-20250304123852-635,2025-03-04,2025-03-17,Partially Shipped,151809.3,CUST005,Automotive Innovations Ltd.,575,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,4887,8.9,43494.3,Partially_Shipped
SO-20250304123852-635,2025-03-04,2025-03-17,Partially Shipped,151809.3,CUST005,Automotive Innovations Ltd.,576,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,2407,45.0,108315.0,Partially_Shipped
SO-20250307080619-519,2025-03-07,2025-04-02,Partially Shipped,10378.7,CUST003,AeroSpace Dynamics,583,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,3521,2.5,8802.5,Partially_Shipped
SO-20250312082623-847,2025-03-12,2025-03-27,Partially Shipped,196457.3,CUST001,Global Tech Solutions,614,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,8209,15.2,124776.8,Partially_Shipped
SO-20250312124838-402,2025-03-12,2025-03-27,Partially Shipped,6258.7,CUST004,MediEquip Corp.,611,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,296,15.2,4499.2,Partially_Shipped
